ID;PESO;C1;C2;C3;C4;C4_1;C6;P1001_1;P1001_2;PCAV1220231;P1002;P1005_1;P1003;P1005_2;P1004;P1005_3;P1012;P1013;P1013_1;P1014;P1015;P1016;BS58000;BS58000B;BS58000C;P11017;PBARDIC24_1_1;PBARDIC24_1_2;PBARDIC24_1_3;PBARDIC24_1_4;PBARDIC24_1_5;PBARDIC24_1_6;PBARDIC24_1_7;PBARDIC24_1_8;PBARDIC24_1_V2_1;PBARDIC24_1_V2_2;PBARDIC24_1_V2_3;PBARDIC24_1_V2_4;PBARDIC24_1_V2_5;PBARDIC24_1_V2_6;PBARDIC24_2;PBARDIC24_3;PBARDIC24_4_1;PBARDIC24_4_2;PBARDIC24_4_3;PBARDIC24_4_4;PBARDIC24_4_5;PBARDIC24_4_6;PBARDIC24_4_7;PBARDIC24_4_8;PBARDIC24_4_9;PBARDIC24_5;PBARDIC24_6;PBARDIC24_7;PBARDIC24_8_1;PBARDIC24_8_2;PBARDIC24_8_3;PBARDIC24_8_4;PBARDIC24_8_5;PBARDIC24_8_6;PBARDIC24_8_98;PBARDIC24_9;PBARDIC24_10;PBARDIC24_11_1;PBARDIC24_11_2;PBARDIC24_11_3;PBARDIC24_11_4;P2003;BVPCE100000;P2002_CONOC_1;P2002_VAL_1;P2002_CONOC_2;P2002_VAL_2;P2002_CONOC_3;P2002_VAL_3;P2002_CONOC_4;P2002_VAL_4;P2002_CONOC_8;P2002_VAL_8;P1018;P200110;P2005;P2007;P2008A;P2105A;BCHVC66000_1;BCHVC66000_2;BCHVC66000_3;BCHVC66000_4;BCHVC66000_5;BCHVC66000_6;BCHVC66000_7;BCHVC66000_8;BCHVC66000_9;BCHVC66000_10;BCHVC66000_11;BCHVC66000_12;BCHVC66000_15;BCHVC66000_16;BCHVC66000_13;BCHVC66000_98;BCHVC66000_99;BCHVC67000;BCHVC68000;P221009;P2009;P2010;P2012;P2013;P2014;P2015
1405;,873675494934504;14;5;2;65;6;1;10;9;8;800;10;99; ;800;10;2;2;2;2;2;3;1;3;3;2;10;3;3;3;3;9;7;6;3;6;6;0;99;6;1;1;98;98;98;98;98;98;98;98;98;4;5;3;1;1;0;0;0;0;0;1;1;2;1;2;2;5;5;1;6;1;3;2; ;2; ;2; ;2;5;10;98;98;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;4;1;5;1;7;2; 
322;1,18528996413301;29;1;1;20;1;1;10;10;8;201;1;201;1;1403;1;2;3;1;2;1;1;1;3;3;1;10;0;0;0;0;10;0;7;8;10;10;0;8;8;1;1;1;1;1;1;1;1;1;1;1;1;10;1;0;0;1;1;0;0;0;3;1;2;1;1;1;5;6;1;9;1;8;2; ;1;8;1;8;1;5;9;8;1;6;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;2;2;2;2;5;5;1;2
1324;1,25577084459793;41;5;2;64;5;1;7;7;8;1200;10;9500; ;9500; ;2;2;2;3;2;1;1;3;3;2;10;1;1;1;1;5;1;5;5;8;8;4;5;6;1;2; ; ; ; ; ; ; ; ; ;4;10;2;1;1;1;1;0;0;0;1;1;2;1;1;1;5;6;1;6;1;6;2; ;2; ;2; ;3;5;10;7;1;6;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;1;5;3;10;2; 
1861;,82152340959573;4;5;2;51;4;1;6;7;7;9500; ;9500; ;1704;10;1;2;1;1;2;1;1;3;3;3;10;0;3;3;5;8;5;7;7;10;10;5;5;5;1;98; ; ; ; ; ; ; ; ; ;3;8;5;1;0;0;1;0;0;0;2;2;2;1;2;1;7;7;1;7;2; ;2; ;2; ;2; ;2;5;1;1;1;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;1;4;3;6;1;3
2490;,942433030990186;18;5;2;57;5;1;0;10;6;809;1;810;1;809;1;2;2;1;5;2;3;2;3;3;5;6;1;1;1;1;5;1;5;1;5;5;1;1;1;1;98; ; ; ; ; ; ; ; ; ;5;10;5;0;0;0;0;0;0;1;3;2;1;2;1;1;99;99;1;7;2; ;2; ;2; ;2; ;2;5;10;11;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;2;2;2;5;3;9;1;3
216;1,18528996413301;29;3;1;49;4;1;7;7;8;819;10;800;10;807;98;3;3;1;2;2;2;2;3;3;4;8;0;0;0;0;8;6;7;0;10;10;0;7;7;1;98; ; ; ; ; ; ; ; ; ;2;6;4;0;0;0;1;0;0;0;2;1;2;2;1;1;7;8;1;8;2; ;1;5;2; ;1;6;2;4;1;1;1;6;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;3;10;1;1
2430;,873675494934504;14;2;1;47;4;1;6;7;8;402;3;201;10;402;3;2;3;2;2;2;2;1;3;3;2;8;0;5;0;0;8;5;6;5;6;6;0;99;4;1;2; ; ; ; ; ; ; ; ; ;2;6;3;1;1;1;1;0;0;0;1;2;2;2;1;1;7;6;1;8;1;6;2; ;2; ;2; ;2;5;10;1;1;6;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;9;5;1;2;2;3;5;1;3
777;,783474421225984;23;1;1;22;1;1;10;10;9;8039;10;800;10;9500; ;2;1;1;4;2;1;1;3;3;2;8;0;2;0;0;6;4;5;5;7;7;2;3;5;1;98; ; ; ; ; ; ; ; ; ;4;4;4;0;1;0;0;0;0;0;1;98;2;1;1;1;8;7;1;7;1;5;2; ;2; ;1;4;2;5;8;1;3;6;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;4;3;3;1;4;4;11;1;3
511;,82152340959573;4;1;1;39;3;1;8;8;7;809;3;201;1;1403;10;3;3;2;4;2;2;3;3;3;3;5;1;2;1;1;4;1;1;1;4;5;1;1;1;1;98; ; ; ; ; ; ; ; ; ;5;4;4;0;0;1;0;0;1;0;1;98;2;1;1;1;9;9;1;1;2; ;2; ;2; ;2; ;4;5;8;7;4;6;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;5;2;3;2;1;2;7;1;3
2832;1,18528996413301;29;4;2;46;4;1;5;5;4;201;10;201;10;506;10;2;3;3;5;3;3;3;3;3;5;5;0;0;4;4;5;3;3;2;3;3;0;0;4;1;1;3;3;3;3;1;1;98;98;1;4;7;4;0;0;1;0;0;0;0;1;2;1;2;1;1;99;6;1;1;1;1;1;1;1;1;1;1;2;5;8;7;7;6;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;2;2;2;4;4;8;1;3
