ID;PESO;C1;C2;C3;C4;C4_1;C6;P1001_1;P1001_2;PCAV1220231;P1002;P1005_1;P1003;P1005_2;P1004;P1005_3;P1012;P1013;P1013_1;P1014;P1015;P1016;BS58000;BS58000B;BS58000C;P11017;PBARDIC24_1_1;PBARDIC24_1_2;PBARDIC24_1_3;PBARDIC24_1_4;PBARDIC24_1_5;PBARDIC24_1_6;PBARDIC24_1_7;PBARDIC24_1_8;PBARDIC24_1_V2_1;PBARDIC24_1_V2_2;PBARDIC24_1_V2_3;PBARDIC24_1_V2_4;PBARDIC24_1_V2_5;PBARDIC24_1_V2_6;PBARDIC24_2;PBARDIC24_3;PBARDIC24_4_1;PBARDIC24_4_2;PBARDIC24_4_3;PBARDIC24_4_4;PBARDIC24_4_5;PBARDIC24_4_6;PBARDIC24_4_7;PBARDIC24_4_8;PBARDIC24_4_9;PBARDIC24_5;PBARDIC24_6;PBARDIC24_7;PBARDIC24_8_1;PBARDIC24_8_2;PBARDIC24_8_3;PBARDIC24_8_4;PBARDIC24_8_5;PBARDIC24_8_6;PBARDIC24_8_98;PBARDIC24_9;PBARDIC24_10;PBARDIC24_11_1;PBARDIC24_11_2;PBARDIC24_11_3;PBARDIC24_11_4;P2003;BVPCE100000;P2002_CONOC_1;P2002_VAL_1;P2002_CONOC_2;P2002_VAL_2;P2002_CONOC_3;P2002_VAL_3;P2002_CONOC_4;P2002_VAL_4;P2002_CONOC_8;P2002_VAL_8;P1018;P200110;P2005;P2007;P2008A;P2105A;BCHVC66000_1;BCHVC66000_2;BCHVC66000_3;BCHVC66000_4;BCHVC66000_5;BCHVC66000_6;BCHVC66000_7;BCHVC66000_8;BCHVC66000_9;BCHVC66000_10;BCHVC66000_11;BCHVC66000_12;BCHVC66000_15;BCHVC66000_16;BCHVC66000_13;BCHVC66000_98;BCHVC66000_99;BCHVC67000;BCHVC68000;P221009;P2009;P2010;P2012;P2013;P2014;P2015
1;1,255770845;Sevilla;De 100.000 habitantes o más;Hombre;51;45-54;Sí, tengo la nacionalidad española;6;7;7;Insatisfacción con la política, desconfianza y corrupción;Ninguno;Insatisfacción con la política, desconfianza y corrupción;Ninguno;Precios elevados, inflación, pérdida de poder adquisitivo;Ninguno;Buena;Igual;Mejorará;Buena;Igual;Mejorará;Negativa;Negativa;Negativo;Peor;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;Sí;No; ; ; ; ; ; ; ; ; ;Subiendo los impuestos;6;Con el tiempo necesario;0;0;0;Prohibir la construcción en zonas inundables;0;0;0;Necesitamos un gobierno central más fuerte y con más competencias;Muy mal;A favor;A favor;A favor;A favor;5;Sólo de centro;Sí;1;Sí;1;No; ;No; ;No; ;Regular (NO LEER);Mala ;Ninguno (NO LEER);Voto nulo;Voto nulo;Voto nulo;0;0;0;0;0;0;X (antesTwitter);0;0;Internet;0;0;0;0;0;0;0;WhatsApp;Todos los días, durante menos de 1 hora;Pareja con hijos/as que convivan en el hogar;Vivimos confortablemente con los ingresos actuales;Probable (NO LEER);Nada religiosa;Formación profesional II (segundo grado);Trabaja;Asalariado del sector privado
2;1,071401075;Cádiz;De 100.000 habitantes o más;Mujer;78;75 o más;Sí, tengo la nacionalidad española;8;8;8;Falta de trabajo: paro;Ninguno;Falta de trabajo: paro;Ninguno;Insatisfacción con la política, desconfianza y corrupción;Ninguno;Buena;Peor;Empeorará;Muy mala;Peor;Empeorará;Negativa;Negativa;Negativo;Mucho peor;3;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;8;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;8;8;0- Ninguna Confianza;0- Ninguna Confianza;9;Sí;Sí;Menos;Menos;Menos;Menos;Menos;Menos;Menos;Menos;Menos;Reduciendo los gastos de los políticos;10-Muy preocupado;Con el tiempo necesario;0;Más presas para contener y reconducir el agua;0;0;0;0;0;Necesitamos un gobierno central más fuerte y con más competencias;Mal;A favor;A favor;A favor;A favor;5;Moderado de derecha;Sí;1;Sí;5;No; ;No; ;No; ;Mala ;Muy mala ;Otro partido;En blanco;En blanco;En blanco;0;0;0;0;Televisión;0;0;0;0;Internet;0;0;0;0;0;0;0;Ninguna;Todos los días, durante menos de 1 hora;Pareja con hijos/as que convivan en el hogar;Nos llega para vivir;Bastante probable;Algo religiosa;Licenciatura o Grado;Trabaja;Asalariado del sector público
3;1,185289964;Málaga;De 100.000 habitantes o más;Mujer;40;35-44;Sí, tengo la nacionalidad española;10;10;10;Insatisfacción con la política, desconfianza y corrupción;PP;Ningún problema; ;Ningún problema; ;Buena;Igual;Se quedará igual;Buena;Igual;Mejorará;Negativa;Negativa;Positivo;Mejor;8;2;0- Ninguna Confianza;5- Punto Intermedio;0- Ninguna Confianza;8;6;7;8;7;7;0- Ninguna Confianza;6;8;Sí;Sí;Lo mismo (NO LEER);Más;Lo mismo (NO LEER);No sabe;Más;Lo mismo (NO LEER);Más;Lo mismo (NO LEER);Menos;Gestionando mejor los recursos existentes;3;Con el tiempo necesario;Cauces de los ríos más limpios;0;Permitir la limpieza de los montes;Prohibir la construcción en zonas inundables;0;0;0;Necesitamos un gobierno central más fuerte y con más competencias;Muy bien;En contra;En contra;En contra;A favor;6;Centro derecha;Sí;8;Sí;6;No; ;Sí;6;No; ;Muy buena ;Muy mala ;PP;PP;PP;PP;0;Prensa online;0;0;Televisión;0;0;0;0;0;0;0;0;0;0;0;0;Instagram;Cada dos días, con menos frecuencia;Pareja con hijos/as que convivan en el hogar;Vivimos confortablemente con los ingresos actuales;Poco probable;Muy religiosa;Máster;Trabaja;Profesional o trabajador autónomo (sin asalariados)
4;0,82152341;Almería;De 100.000 habitantes o más;Mujer;32;25-34;Sí, tengo la nacionalidad española;3;8;1;Falta de trabajo: paro;PP;Falta de trabajo: paro;PP;Ningún problema; ;Mala;Peor;Mejorará;Muy buena;Igual;Mejorará;Positiva;Negativa;Positivo;Peor;0- Ninguna Confianza;1;3;5- Punto Intermedio;4;5- Punto Intermedio;7;5- Punto Intermedio;6;3;4;2;5- Punto Intermedio;6;Sí;No sabe; ; ; ; ; ; ; ; ; ;Solicitando más fondos europeos;8;Rápidamente;Cauces de los ríos más limpios;0;0;Prohibir la construcción en zonas inundables;0;0;0;Otra;Bien;En contra;A favor;A favor;A favor;5;Sólo de centro;Sí;7;No; ;No; ;No; ;No; ;Buena;Muy mala ;PP;PP;PP;PP;0;0;0;0;0;Facebook;0;Instagram;0;0;0;0;0;0;0;0;0;Instagram;Todos los días, durante 3 horas o más;Padre o madre solo/a que conviva con algún hijo/a;Tenemos dificultades;Probable (NO LEER);Algo religiosa;Formación profesional II (segundo grado);Parado/a y ha trabajado antes; 
5;1,185289964;Málaga;De 50.001 a 100.000 habitantes;Hombre;68; 65-74;Sí, tengo la nacionalidad española;10;10;10;Insatisfacción con la política, desconfianza y corrupción;Vox;Falta de trabajo: paro;Vox;Sanidad;Vox;Buena;Igual;Mejorará;Buena;Mejor;Mejorará;Positiva;Negativa;Positivo;Mucho mejor;10- Plena Confianza;0- Ninguna Confianza;0- Ninguna Confianza;0- Ninguna Confianza;9;10- Plena Confianza;0- Ninguna Confianza;10- Plena Confianza;10- Plena Confianza;10- Plena Confianza;10- Plena Confianza;0- Ninguna Confianza;10- Plena Confianza;10- Plena Confianza;Sí;Sí;Más;Más;Más;Más;Más;Más;Más;Más;Más;Solicitando más fondos europeos;5;Rápidamente;0;0;0;Prohibir la construcción en zonas inundables;0;0;0;Las comunidades autónomas necesitan más medios para actuar más rápido;Muy bien;En contra;A favor;A favor;A favor;5;Centro derecha;Sí;10;Sí;1;No; ;No; ;No; ;Muy buena ;Muy mala ;Vox;Vox;Vox;Vox;0;0;0;0;0;0;0;0;0;Internet;Tik Tok;0;0;0;0;0;0;TikTok;Todos los días, durante 3 horas o más;Pareja con hijos/as que convivan en el hogar;Nos llega para vivir;Poco probable;Religiosa;Educación primaria;Jubilado o pensionista (anteriormente ha trabajado); 
6;0,873675495;Córdoba;De 100.000 habitantes o más;Hombre;62;55-64;Sí, tengo la nacionalidad española;6;5;7;Insatisfacción con la política, desconfianza y corrupción;PSOE;Sanidad;PSOE;Falta de ayudas a discapacitados/personas dependientes;PSOE;Ni buena ni mala (NO LEER);Igual;Se quedará igual;Mala;Peor;Empeorará;Negativa;Positiva;Positivo;Peor;6;8;4;5- Punto Intermedio;3;7;7;4;3;7;8;5- Punto Intermedio;6;4;Sí;No sabe; ; ; ; ; ; ; ; ; ;Subiendo los impuestos;8;Rápidamente;Cauces de los ríos más limpios;0;0;Prohibir la construcción en zonas inundables;0;0;0;Otra;Bien;A favor;A favor;En contra;En contra;5;Moderado de izquierda;Sí;6;Sí;7;Sí;7;No; ;No; ;Mala ;Buena;PSOE;PSOE;PSOE;PSOE;0;0;0;0;Televisión;0;0;0;0;0;0;0;0;0;0;0;0;WhatsApp;Todos los días, durante menos de 1 hora;Hogar unipersonal;Nos llega para vivir;Nada probable;Poca religiosa;Educación secundaria (ESO);Trabaja;Asalariado del sector privado
7;0,783474421;Jaén;Menos de 10.000 habitantes;Mujer;54;45-54;Sí, tengo la nacionalidad española;7;8;9;Falta de recurso/ ayudas;PP;Aumento de impuestos/ muchos / elevados;PP;Ningún problema; ;Buena;Mejor;Se quedará igual;Buena;Mejor;Se quedará igual;Positiva;Negativa;Positivo;Mejor;10- Plena Confianza;0- Ninguna Confianza;5- Punto Intermedio;8;5- Punto Intermedio;8;5- Punto Intermedio;5- Punto Intermedio;6;7;7;3;3;3;No;No; ; ; ; ; ; ; ; ; ;Gestionando mejor los recursos existentes;6;Muy lentamente;0;0;0;Prohibir la construcción en zonas inundables;0;0;0;Necesitamos un gobierno central más fuerte y con más competencias;Mal;En contra;A favor;A favor;En contra;10;Algo radical de derechas;Sí;8;No; ;No; ;No; ;No; ;Buena;Muy mala ;Vox;PP;PP;PP;0;0;Familiares/amigos;0;Televisión;0;0;0;0;0;0;0;0;0;0;0;0;WhatsApp;Todos los días, durante menos de 1 hora;Pareja con hijos/as que convivan en el hogar;Vivimos confortablemente con los ingresos actuales;Probable (NO LEER);Algo religiosa;Formación profesional II (segundo grado);Trabaja;Empresario o profesional con asalariados
8;0,942433031;Granada;De 100.000 habitantes o más;Hombre;36;35-44;Sí, tengo la nacionalidad española;8;7;7;Insatisfacción con la política, desconfianza y corrupción;No sabe;Ningún problema; ;Crisis sanitaria / gestión;No sabe;Mala;Igual;Se quedará igual;Mala;Igual;Se quedará igual;Negativa;Negativa;Negativo;Peor;5- Punto Intermedio;2;2;2;3;3;5- Punto Intermedio;3;2;4;2;0- Ninguna Confianza;2;3;Sí;No sabe; ; ; ; ; ; ; ; ; ;Gestionando mejor los recursos existentes;3;Rápidamente;0;0;0;Prohibir la construcción en zonas inundables;0;0;0;Otra;Bien;A favor;A favor;A favor;A favor;4;Centro Izquierda;Sí;3;No; ;No; ;No; ;No; ;Mala ;Regular (NO LEER);Por Andalucía/Sumar;No sabe;Por Andalucía/Sumar;Sumar;0;Prensa online;0;0;0;0;0;0;0;Internet;0;0;0;0;0;0;0;TikTok;Todos los días, durante más de 1 hora, pero menos de 3 horas;Pareja sin hijos que convivan en el hogar;Nos llega para vivir;Poco probable;Algo religiosa;Máster;Trabaja;Asalariado del sector privado
9;0,82152341;Almería;De 100.000 habitantes o más;Hombre;65; 65-74;Sí, tengo la nacionalidad española;9;9;10;Incertidumbre respecto al futuro en general/de la juventud;No sabe;Funcionamiento de la economía;No sabe;Ningún problema; ;Muy buena;Mejor;Se quedará igual;Buena;Igual;Se quedará igual;Positiva;Negativa;Negativo;Mejor;10- Plena Confianza;0- Ninguna Confianza;10- Plena Confianza;0- Ninguna Confianza;1;10- Plena Confianza;7;5- Punto Intermedio;5- Punto Intermedio;10- Plena Confianza;10- Plena Confianza;1;1;2;Sí;No sabe; ; ; ; ; ; ; ; ; ;Solicitando más fondos europeos;5;Con el tiempo necesario;0;0;0;Prohibir la construcción en zonas inundables;0;0;0;Necesitamos un gobierno central más fuerte y con más competencias;Bien;En contra;A favor;En contra;En contra;No sabe;No sabe;Sí;7;Sí;4;No; ;No; ;No; ;Buena;Muy mala ;Ninguno (NO LEER);No sabe;Ciudadanos;Ciudadanos;0;0;0;0;0;0;0;0;0;Internet;0;0;0;0;0;0;0;WhatsApp;Todos los días, durante menos de 1 hora;Hogar unipersonal;Vivimos confortablemente con los ingresos actuales;Poco probable;Nada religiosa;Licenciatura o Grado;Trabaja;Asalariado del sector público
10;0,873675495;Córdoba;De 20.001 a 50.000 habitantes;Hombre;38;35-44;Sí, tengo la nacionalidad española;8;7;8;Insatisfacción con la política, desconfianza y corrupción;PP;Sanidad;PP;Funcionamiento de la economía;PP;Buena;Mejor;Se quedará igual;Buena;Igual;Se quedará igual;Positiva;Negativa;Negativo;Mejor;8;4;8;5- Punto Intermedio;6;8;7;7;7;8;8;4;7;8;No;No sabe; ; ; ; ; ; ; ; ; ;Gestionando mejor los recursos existentes;6;Lentamente;Cauces de los ríos más limpios;0;0;Prohibir la construcción en zonas inundables;0;0;0;Necesitamos un gobierno central más fuerte y con más competencias;Muy bien;En contra;A favor;A favor;En contra;7;Centro derecha;Sí;8;Sí;4;Sí;4;No; ;No; ;Buena;Muy mala ;PP;PP;PP;PP;0;0;0;0;Televisión;0;0;0;0;Internet;0;0;0;0;0;0;0;Facebook;Todos los días, durante más de 1 hora, pero menos de 3 horas;Pareja con hijos/as que convivan en el hogar;Vivimos confortablemente con los ingresos actuales;Poco probable;Algo religiosa;Máster;Trabaja;Empresario o profesional con asalariados
